j1,j2,j3,j4,j5,j6,,j2,j3,j4,,j2,j3,j4,,j1,j2,j3,j4,j5,j6,,j2,j3,j4,,j2,j3,j4
0.26,-71.8,-40.86,19.33,0.26,-45.08,,-70.0024442,-39.99474496,19.99718917,,1.797555797,0.865255035,0.667189167,,0.26,-71.8,-40.86,19.33,0.26,-45.08,,-70.0024442,-39.99474496,19.99718917,,1.797555797,0.865255035,0.667189167
0,0,0,0,0,0,,-68.72197054,-42.74775992,21.46973045,,-68.72197054,-42.74775992,21.46973045,,-0.08,-68.02,-48.07,24.34,-1.05,-45.08,,-64.32289992,-52.21930636,26.54220628,,3.697100084,-4.149306364,2.202206281
0,0,0,0,0,0,,-66.35976561,-47.83006001,24.18982562,,-66.35976561,-47.83006001,24.18982562,,-0.08,-67.23,-49.39,26.19,-1.14,-45,,-62.42026694,-56.32621924,28.74648617,,4.809733063,-6.936219237,2.556486174
-0.08,-68.02,-48.07,24.34,-1.05,-45.08,,-64.32289992,-52.21930636,26.54220628,,3.697100084,-4.149306364,2.202206281,,-0.08,-62.22,-60.2,31.37,-1.14,-45,,-58.95679129,-63.82385312,32.78064442,,3.263208706,-3.623853125,1.410644419
-0.08,-67.23,-49.39,26.19,-1.14,-45,,-62.42026694,-56.32621924,28.74648617,,4.809733063,-6.936219237,2.556486174,,-0.08,-61.61,-61.43,32.51,-1.14,-45,,-57.35887086,-67.2944165,34.65328737,,4.251129136,-5.864416503,2.143287367
0,0,0,0,0,0,,-60.6388425,-60.1787393,30.8175818,,-60.6388425,-60.1787393,30.8175818,,-0.08,-59.15,-66.35,35.06,-1.14,-45,,-55.83330968,-70.61587059,36.44918027,,3.316690319,-4.26587059,1.389180271
-0.08,-62.22,-60.2,31.37,-1.14,-45,,-58.95679129,-63.82385312,32.78064442,,3.263208706,-3.623853125,1.410644419,,-0.08,-55.98,-73.65,38.84,-1.05,-45,,-52.96415993,-76.88767275,39.85183268,,3.015840072,-3.237672749,1.011832677
-0.08,-61.61,-61.43,32.51,-1.14,-45,,-57.35887086,-67.2944165,34.65328737,,4.251129136,-5.864416503,2.143287367,,0.08,-52.99,-79.8,41.83,-0.87,-45,,-50.29495269,-82.75810484,43.05305753,,2.695047308,-2.958104841,1.223057534
-0.08,-59.15,-66.35,35.06,-1.14,-45,,-55.83330968,-70.61587059,36.44918027,,3.316690319,-4.26587059,1.389180271,,0.08,-52.64,-81.29,42.8,-0.87,-45,,-49.02338724,-85.56925871,44.59264596,,3.616612755,-4.279258714,1.792645959
0,0,0,0,0,0,,-54.37087006,-73.80825239,38.17912245,,-54.37087006,-73.80825239,38.17912245,,0.26,-50.44,-85.07,45.08,-0.79,-45,,-47.78901472,-88.3085988,46.09761353,,2.650985275,-3.238598804,1.017613529
-0.08,-55.98,-73.65,38.84,-1.05,-45,,-52.96415993,-76.88767275,39.85183268,,3.015840072,-3.237672749,1.011832677,,0.35,-49.57,-87.18,46.05,-0.79,-45,,-46.58891062,-90.98285107,47.57176169,,2.981089382,-3.802851072,1.52176169
0,0,0,0,0,0,,-51.60717038,-79.86730998,41.47448036,,-51.60717038,-79.86730998,41.47448036,,0.52,-46.49,-93.33,49.48,-0.7,-45,,-44.28193765,-96.15868803,50.44062568,,2.208062349,-2.82868803,0.960625681
0.08,-52.99,-79.8,41.83,-0.87,-45,,-50.29495269,-82.75810484,43.05305753,,2.695047308,-2.958104841,1.223057534,,0.52,-43.24,-101.16,53.61,0,-45,,-41.02724707,-103.5587227,54.58596972,,2.212752935,-2.398722656,0.975969721
0.08,-52.64,-81.29,42.8,-0.87,-45,,-49.02338724,-85.56925871,44.59264596,,3.616612755,-4.279258714,1.792645959,,0.43,-41.3,-105.9,56.07,0,-45,,-38.9792803,-108.2915353,57.27081561,,2.320719698,-2.391535307,1.200815609
0.26,-50.44,-85.07,45.08,-0.79,-45,,-47.78901472,-88.3085988,46.09761353,,2.650985275,-3.238598804,1.017613529,,0.08,-37.26,-115.22,61.43,0.08,-45,,-35.14774414,-117.373625,62.52136918,,2.112255858,-2.153625035,1.091369177
0.35,-49.57,-87.18,46.05,-0.79,-45,,-46.58891062,-90.98285107,47.57176169,,2.981089382,-3.802851072,1.52176169,,0.08,-37.26,-115.22,61.43,0.08,-45,,-34.24284758,-119.5768625,63.81971012,,3.01715242,-4.35686254,2.389710119
0,0,0,0,0,0,,-45.42059049,-93.59784781,49.01843831,,-45.42059049,-93.59784781,49.01843831,,0.08,-34.45,-121.46,65.56,0.08,-45,,-32.49668138,-123.9152974,66.41197881,,1.953318622,-2.455297427,0.851978805
0.52,-46.49,-93.33,49.48,-0.7,-45,,-44.28193765,-96.15868803,50.44062568,,2.208062349,-2.82868803,0.960625681,,0.08,-32.78,-125.77,68.11,0.17,-45,,-30.83806314,-128.1734331,69.01149626,,1.941936858,-2.403433115,0.901496256
0,0,0,0,0,0,,-43.17114743,-98.66986303,51.84101046,,-43.17114743,-98.66986303,51.84101046,,0.08,-32.16,-127,68.9,0.17,-45,,-30.04339383,-130.2759952,70.31938902,,2.116606172,-3.275995192,1.41938902
0,0,0,0,0,0,,-42.08668401,-101.1353561,53.22204015,,-42.08668401,-101.1353561,53.22204015,,0.08,-31.11,-129.37,70.66,0.17,-45,,-29.27328355,-132.3626878,71.63597131,,1.836716454,-2.992687766,0.975971313
0.52,-43.24,-101.16,53.61,0,-45,,-41.02724707,-103.5587227,54.58596972,,2.212752935,-2.398722656,0.975969721,,0.08,-30.32,-131.39,72.07,0.17,-45,,-28.529214,-134.4348083,72.96402225,,1.790786001,-3.044808253,0.894022252
0,0,0,0,0,0,,-39.99174596,-105.9431549,55.93490084,,-39.99174596,-105.9431549,55.93490084,,0.08,-29.53,-133.5,73.3,0.17,-45,,-27.81303916,-136.4936277,74.30666685,,1.716960842,-2.993627697,1.006666855
0.43,-41.3,-105.9,56.07,0,-45,,-38.9792803,-108.2915353,57.27081561,,2.320719698,-2.391535307,1.200815609,,0.08,-26.63,-141.85,79.01,0.17,-45,,-25.28225798,-144.6212764,79.90353433,,1.347742021,-2.771276355,0.893534334
0,0,0,0,0,0,,-37.98912563,-110.6064807,58.59560637,,-37.98912563,-110.6064807,58.59560637,,0.08,-25.66,-146.07,81.65,0.08,-45,,-24.5155737,-147.63408,82.14965373,,1.144426303,-1.564080034,0.499653731
0,0,0,0,0,0,,-37.02072363,-112.8903792,59.91110279,,-37.02072363,-112.8903792,59.91110279,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-36.07367633,-115.1454209,61.2190972,,-36.07367633,-115.1454209,61.2190972,,,,,,,,,,,,,,,
0.08,-37.26,-115.22,61.43,0.08,-45,,-35.14774414,-117.373625,62.52136918,,2.112255858,-2.153625035,1.091369177,,,,,,,,,,,,,,,
0.08,-37.26,-115.22,61.43,0.08,-45,,-34.24284758,-119.5768625,63.81971012,,3.01715242,-4.35686254,2.389710119,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-33.35907281,-121.756876,65.11594882,,-33.35907281,-121.756876,65.11594882,,,,,,,,,,,,,,,
0.08,-34.45,-121.46,65.56,0.08,-45,,-32.49668138,-123.9152974,66.41197881,,1.953318622,-2.455297427,0.851978805,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-31.65612455,-126.0536641,67.70978864,,-31.65612455,-126.0536641,67.70978864,,,,,,,,,,,,,,,
0.08,-32.78,-125.77,68.11,0.17,-45,,-30.83806314,-128.1734331,69.01149626,,1.941936858,-2.403433115,0.901496256,,,,,,,,,,,,,,,
0.08,-32.16,-127,68.9,0.17,-45,,-30.04339383,-130.2759952,70.31938902,,2.116606172,-3.275995192,1.41938902,,,,,,,,,,,,,,,
0.08,-31.11,-129.37,70.66,0.17,-45,,-29.27328355,-132.3626878,71.63597131,,1.836716454,-2.992687766,0.975971313,,,,,,,,,,,,,,,
0.08,-30.32,-131.39,72.07,0.17,-45,,-28.529214,-134.4348083,72.96402225,,1.790786001,-3.044808253,0.894022252,,,,,,,,,,,,,,,
0.08,-29.53,-133.5,73.3,0.17,-45,,-27.81303916,-136.4936277,74.30666685,,1.716960842,-2.993627697,1.006666855,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-27.1270597,-138.5404055,75.66746519,,-27.1270597,-138.5404055,75.66746519,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-26.47411989,-140.5764059,77.0505258,,-26.47411989,-140.5764059,77.0505258,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-25.85773464,-142.6029175,78.46065211,,-25.85773464,-142.6029175,78.46065211,,,,,,,,,,,,,,,
0.08,-26.63,-141.85,79.01,0.17,-45,,-25.28225798,-144.6212764,79.90353433,,1.347742021,-2.771276355,0.893534334,,,,,,,,,,,,,,,
0,0,0,0,0,0,,-24.75310895,-146.6328962,81.38600517,,-24.75310895,-146.6328962,81.38600517,,,,,,,,,,,,,,,
0.08,-25.66,-146.07,81.65,0.08,-45,,-24.5155737,-147.63408,82.14965373,,1.144426303,-1.564080034,0.499653731,,,,,,,,,,,,,,,
